Bahia|4|0|Grêmio|1.60|3.50|4.75
Mirassol|3|0|São Paulo|2.63|2.82|3.05
Internacional|2|0|Sport Recife|1.65|3.97|5.25
Ceará|0|2|Botafogo|2.48|2.95|3.05
Flamengo|3|2|Palmeiras|1.99|3.38|4.00
Cruzeiro|1|0|Fortaleza|1.53|4.35|6.15
Corinthians|1|0|Atlético Mineiro|2.05|3.00|3.80
Fluminense|1|0|Juventude|1.35|4.25|9.20
Vitória|2|1|Bahia|2.70|2.87|2.58
Grêmio|2|0|São Paulo|3.20|2.78|2.31
Santos|3|1|Corinthians|2.10|3.00|3.25
Atlético Mineiro|1|1|Cruzeiro|3.25|3.10|2.19
Fortaleza|0|2|Vasco da Gama|2.35|3.00|3.05
Mirassol|3|1|Internacional|2.12|3.25|3.40
Sport Recife|1|1|Ceará|2.48|3.20|2.90
Botafogo|0|3|Flamengo|4.10|3.10|2.00
Palmeiras|5|1|Bragantino|1.37|4.55|7.75
Palmeiras|4|1|Juventude|1.24|4.95|14.50
Mirassol|2|1|Fluminense|2.37|3.10|2.92
Atlético Mineiro|3|1|Sport Recife|1.55|3.60|5.25
Cruzeiro|1|1|Sport Recife|1.57|3.50|6.00
Ceará|3|0|Santos|2.30|2.96|3.14
Bahia|1|0|Flamengo|4.85|3.50|1.70
Juventude|1|2|Fortaleza|2.33|2.90|2.75
Vasco da Gama|4|3|Vitória|1.69|3.75|4.80
São Paulo|2|3|Palmeiras|3.50|3.00|2.25
Corinthians|3|0|Mirassol|2.00|3.25|3.75
Fluminense|3|0|Atlético Mineiro|2.05|3.12|4.20
Bragantino|1|0|Grêmio|2.09|3.15|4.00
Internacional|2|0|Botafogo|2.38|3.20|2.97
Flamengo|0|0|Cruzeiro|1.58|3.70|6.05
Fortaleza|0|2|São Paulo|2.75|3.10|2.74
Vitória|1|0|Ceará|2.35|2.82|3.25
Botafogo|2|1|Bahia|1.85|3.45|4.00
Santos|1|1|Grêmio|1.85|3.10|4.30
Internacional|1|1|Corinthians|2.24|3.20|4.36
Palmeiras|3|0|Vasco da Gama|1.36|4.75|8.50
Mirassol|1|1|Bragantino|1.81|3.58|4.50
Sport Recife|2|2|Fluminense|3.30|3.08|2.44
Atlético Mineiro|0|0|Juventude|1.50|3.60|6.00
São Paulo|0|1|Ceará|1.46|3.40|6.40
Corinthians|1|2|Flamengo|4.00|3.10|2.00
Bragantino|2|2|Santos|2.20|3.25|3.38
Fluminense|2|0|Botafogo|2.47|2.88|3.25
Bahia|1|0|Palmeiras|3.80|3.38|1.95
Grêmio|3|1|Vitória|1.75|3.40|4.40
Atlético Mineiro|1|0|Mirassol|2.00|3.30|3.70
Vasco da Gama|2|0|Cruzeiro|2.80|3.10|2.39
Juventude|1|1|Internacional|3.50|3.10|1.88
Fortaleza|1|0|Sport Recife|1.68|3.36|4.40
Vasco da Gama|3|1|Bahia|2.35|3.25|3.15
Grêmio|1|1|Botafogo|2.92|3.10|2.60
Santos|1|0|São Paulo|2.40|3.00|3.15
Cruzeiro|2|1|Bragantino|1.55|3.85|5.70
Flamengo|1|1|Vasco da Gama|1.31|4.40|7.60
Internacional|2|3|Grêmio|1.72|3.25|4.33
Sport Recife|1|0|Corinthians|2.48|2.85|2.73
Mirassol|2|0|Juventude|1.55|3.50|5.30
Palmeiras|4|1|Fortaleza|1.40|4.50|7.75
Botafogo|1|0|Atlético Mineiro|1.57|3.50|4.80
Ceará|1|1|Bahia|2.60|3.10|2.91
Vitória|0|1|Fluminense|2.52|2.87|2.68
Botafogo|3|3|Mirassol|1.70|3.40|4.50
Bahia|1|2|Cruzeiro|2.75|2.98|2.50
Vasco da Gama|2|2|Ceará|1.97|3.05|4.05
São Paulo|1|0|Botafogo|2.20|3.00|3.75
Atlético Mineiro|1|1|Santos|1.82|3.50|4.60
Juventude|0|2|Flamengo|8.00|4.40|1.43
Bragantino|1|1|Sport Recife|1.81|3.56|4.60
Fluminense|0|1|Corinthians|2.20|3.00|3.80
Palmeiras|4|1|Internacional|1.53|4.00|6.50
Grêmio|0|1|Mirassol|2.25|3.10|3.45
Fortaleza|2|0|Vitória|1.92|3.35|4.30
Internacional|2|1|Fortaleza|1.65|3.87|5.05
Sport Recife|2|3|Vasco da Gama|2.40|2.95|3.08
Corinthians|1|1|Palmeiras|3.85|3.00|2.31
Mirassol|5|1|Bahia|2.32|3.15|3.05
Vitória|1|0|Atlético Mineiro|3.54|3.05|2.38
Flamengo|1|1|Grêmio|1.28|5.95|12.00
Santos|0|0|Fluminense|2.31|3.20|3.00
Cruzeiro|1|0|São Paulo|1.91|3.10|4.50
Botafogo|4|1|Bragantino|1.70|4.10|4.70
Ceará|0|1|Juventude|1.56|3.55|5.10
Flamengo|8|0|Vitória|1.18|5.40|12.00
Palmeiras|3|0|Sport Recife|1.30|4.60|9.60
São Paulo|2|0|Atlético Mineiro|1.73|3.30|4.80
Fortaleza|0|1|Mirassol|2.50|3.00|2.85
Juventude|1|3|Botafogo|3.95|3.30|2.03
Vasco da Gama|2|3|Corinthians|2.16|3.20|3.75
Bahia|2|0|Santos|1.66|3.75|4.90
Grêmio|0|0|Ceará|2.12|3.00|3.65
Cruzeiro|2|1|Internacional|1.59|3.40|4.55
Bragantino|4|2|Fluminense|2.26|2.91|3.01
Juventude|2|0|Vasco da Gama|3.38|3.25|2.12
Mirassol|1|1|Cruzeiro|3.06|3.20|2.40
Botafogo|0|1|Palmeiras|3.00|2.90|2.50
Internacional|1|3|Flamengo|4.90|3.25|1.90
Santos|0|6|Vasco da Gama|1.97|3.52|4.10
Atlético Mineiro|1|3|Grêmio|1.76|3.68|5.00
Corinthians|1|2|Bahia|2.74|2.80|2.85
Vitória|2|2|Juventude|1.72|3.35|4.60
Sport Recife|2|2|São Paulo|2.25|2.80|3.05
Fluminense|2|1|Fortaleza|1.75|3.08|4.50
Ceará|1|0|Bragantino|2.19|2.93|3.11
Juventude|2|1|Corinthians|3.29|2.94|2.10
Grêmio|0|1|Sport Recife|1.81|3.12|4.10
Cruzeiro|1|2|Santos|1.50|4.15|5.90
Vasco da Gama|1|1|Atlético Mineiro|2.36|3.10|2.98
Palmeiras|2|1|Ceará|1.46|3.95|8.84
Bahia|3|3|Fluminense|1.45|3.50|4.75
Fortaleza|0|5|Botafogo|2.50|3.10|3.14
Flamengo|2|1|Mirassol|1.34|4.90|10.00
São Paulo|2|0|Vitória|1.67|3.50|5.90
Bragantino|1|3|Internacional|2.45|3.00|2.92
Santos|3|1|Juventude|1.38|3.97|7.00
Internacional|1|2|São Paulo|1.89|3.03|3.85
Vitória|2|2|Palmeiras|4.40|2.93|1.98
Atlético Mineiro|2|1|Bragantino|1.91|3.20|4.20
Ceará|1|1|Flamengo|4.80|3.05|1.75
Botafogo|0|2|Cruzeiro|2.10|3.25|3.40
Corinthians|1|1|Fortaleza|2.04|3.05|4.04
Fluminense|1|0|Grêmio|1.84|3.21|3.77
Mirassol|3|2|Vasco da Gama|1.77|3.40|4.50
Sport Recife|0|0|Bahia|3.10|2.94|2.37
Grêmio|2|1|Fortaleza|2.15|3.08|3.03
Flamengo|1|0|Atlético Mineiro|1.61|3.39|4.90
Internacional|1|1|Vasco da Gama|1.55|3.70|5.75
Bahia|3|0|Juventude|1.29|5.75|9.75
São Paulo|3|1|Fluminense|2.27|3.00|3.50
Cruzeiro|1|2|Ceará|1.34|3.95|8.10
Palmeiras|1|0|Grêmio|1.37|4.60|8.50
Botafogo|1|1|Corinthians|1.62|3.70|6.40
Mirassol|1|1|Vitória|1.72|3.55|5.73
Fortaleza|3|1|Bragantino|2.31|3.20|3.25
Sport Recife|2|2|Santos|2.58|3.10|2.80
Juventude|0|1|São Paulo|3.75|3.05|1.95
Santos|1|2|Internacional|2.02|3.09|3.32
Bragantino|1|2|Flamengo|2.93|3.02|2.24
Vitória|2|2|Sport Recife|1.84|3.08|3.96
